Date,SBIN-EQ O,SBIN-EQ H,SBIN-EQ L,SBIN-EQ C,SBIN-EQ V
9/14/2018 11:59:00 AM,289.1,289.45,289.1,289.45,26127
9/14/2018 11:58:00 AM,289.1,289.35,289.1,289.2,32068
9/14/2018 11:57:00 AM,289.25,289.3,289.1,289.2,15159
9/14/2018 11:56:00 AM,289.05,289.35,289.05,289.35,17119
9/14/2018 11:55:00 AM,289.3,289.3,289,289.05,14690
9/14/2018 11:54:00 AM,289.4,289.4,289,289.25,49579
9/14/2018 11:53:00 AM,289.3,289.45,289.15,289.4,21683
9/14/2018 11:52:00 AM,289.35,289.35,289.25,289.3,10713
9/14/2018 11:51:00 AM,289.45,289.6,289.3,289.35,16376
9/14/2018 11:50:00 AM,289.5,289.5,289.3,289.4,11807
9/14/2018 11:49:00 AM,289.5,289.6,289.4,289.5,12289
9/14/2018 11:48:00 AM,289.35,289.55,289.35,289.5,21603
9/14/2018 11:47:00 AM,289.35,289.45,289.2,289.3,31949
9/14/2018 11:46:00 AM,289.2,289.45,289.2,289.35,19198
9/14/2018 11:45:00 AM,289.4,289.4,289.15,289.2,23925
9/14/2018 11:44:00 AM,289.45,289.45,289.2,289.4,15081
9/14/2018 11:43:00 AM,289.2,289.45,289.05,289.45,29419
9/14/2018 11:42:00 AM,289.2,289.3,289.15,289.2,31419
9/14/2018 11:41:00 AM,289,289.3,289,289.1,22992
9/14/2018 11:40:00 AM,289.35,289.4,289,289,96404
9/14/2018 11:39:00 AM,289.6,289.6,289.25,289.35,32703
9/14/2018 11:38:00 AM,289.55,289.65,289.45,289.6,18340
9/14/2018 11:37:00 AM,289.75,289.75,289.45,289.5,19661
9/14/2018 11:36:00 AM,289.7,289.75,289.65,289.75,13503
9/14/2018 11:35:00 AM,289.65,289.75,289.6,289.7,12428
9/14/2018 11:34:00 AM,289.65,289.85,289.5,289.65,23015
9/14/2018 11:33:00 AM,289.5,289.65,289.4,289.6,45112
9/14/2018 11:32:00 AM,289.65,289.7,289.5,289.5,49916
9/14/2018 11:31:00 AM,289.65,289.75,289.65,289.65,20422
9/14/2018 11:30:00 AM,289.85,289.85,289.6,289.65,58011
9/14/2018 11:29:00 AM,289.9,289.9,289.7,289.75,22051
9/14/2018 11:28:00 AM,289.9,290,289.85,289.9,13839
9/14/2018 11:27:00 AM,290.05,290.15,289.8,289.9,15552
9/14/2018 11:26:00 AM,290.05,290.15,290,290,7828
9/14/2018 11:25:00 AM,290.05,290.2,290,290.05,13158
9/14/2018 11:24:00 AM,289.95,290.2,289.9,290.05,17970
9/14/2018 11:23:00 AM,289.8,289.95,289.8,289.95,12719
9/14/2018 11:22:00 AM,290.05,290.05,289.8,289.85,10919
9/14/2018 11:21:00 AM,289.8,290.05,289.75,290.05,14526
9/14/2018 11:20:00 AM,290.2,290.2,289.75,289.8,27324
9/14/2018 11:19:00 AM,290.2,290.3,290.15,290.15,13746
9/14/2018 11:18:00 AM,290.25,290.35,290.15,290.3,11866
9/14/2018 11:17:00 AM,290.3,290.4,290.2,290.25,26798
9/14/2018 11:16:00 AM,290.35,290.35,290.15,290.3,13203
9/14/2018 11:15:00 AM,290.1,290.35,290,290.35,71327
9/14/2018 11:14:00 AM,290.1,290.15,290,290,17359
9/14/2018 11:13:00 AM,290.15,290.2,290,290.1,18431
9/14/2018 11:12:00 AM,290.2,290.2,290.05,290.1,9511
9/14/2018 11:11:00 AM,290.2,290.25,290.1,290.15,17690
9/14/2018 11:10:00 AM,290.3,290.3,290.15,290.2,16848
9/14/2018 11:09:00 AM,290.4,290.4,290.1,290.2,25875
9/14/2018 11:08:00 AM,290.15,290.3,290.05,290.25,34327
9/14/2018 11:07:00 AM,290,290.15,289.95,290.15,21349
9/14/2018 11:06:00 AM,289.95,290,289.9,290,12605
9/14/2018 11:05:00 AM,290,290.1,289.9,289.9,18691
9/14/2018 11:04:00 AM,290.15,290.2,289.9,290.05,16555
9/14/2018 11:03:00 AM,289.9,290.2,289.9,290.1,20854
9/14/2018 11:02:00 AM,290.05,290.2,290,290,17629
9/14/2018 11:01:00 AM,289.8,290.15,289.8,290.15,34994
9/14/2018 11:00:00 AM,289.65,289.9,289.65,289.9,15937
9/14/2018 10:59:00 AM,289.9,289.9,289.65,289.65,14570
9/14/2018 10:58:00 AM,289.85,289.9,289.7,289.7,12511
9/14/2018 10:57:00 AM,289.65,289.9,289.6,289.85,12177
9/14/2018 10:56:00 AM,289.6,289.8,289.5,289.65,25519
9/14/2018 10:55:00 AM,289.85,289.95,289.65,289.7,23039
9/14/2018 10:54:00 AM,289.85,289.9,289.75,289.85,16985
9/14/2018 10:53:00 AM,290,290,289.8,289.85,5177
9/14/2018 10:52:00 AM,289.7,290.05,289.7,290,11684
9/14/2018 10:51:00 AM,290.05,290.05,289.7,289.7,77424
9/14/2018 10:50:00 AM,290.1,290.1,290,290,58771
9/14/2018 10:49:00 AM,289.75,290.1,289.7,290,52733
9/14/2018 10:48:00 AM,289.85,289.85,289.7,289.7,8715
9/14/2018 10:47:00 AM,289.95,289.95,289.8,289.85,7079
9/14/2018 10:46:00 AM,289.9,290,289.7,289.95,12393
9/14/2018 10:45:00 AM,289.85,290,289.8,289.95,16975
9/14/2018 10:44:00 AM,290.1,290.15,289.85,289.85,23947
9/14/2018 10:43:00 AM,290.1,290.2,290.05,290.1,13914
9/14/2018 10:42:00 AM,290.1,290.35,290.1,290.15,25616
9/14/2018 10:41:00 AM,290.3,290.4,290.1,290.1,49826
9/14/2018 10:40:00 AM,289.9,290.4,289.7,290.3,151445
9/14/2018 10:39:00 AM,289.6,289.9,289.6,289.9,35531
9/14/2018 10:38:00 AM,289.65,289.7,289.55,289.55,9974
9/14/2018 10:37:00 AM,289.8,289.8,289.65,289.7,10622
9/14/2018 10:36:00 AM,289.65,289.8,289.55,289.8,35457
9/14/2018 10:35:00 AM,289.65,289.65,289.5,289.55,19470
9/14/2018 10:34:00 AM,289.65,289.65,289.5,289.55,17131
9/14/2018 10:33:00 AM,289.35,289.65,289.3,289.55,23529
9/14/2018 10:32:00 AM,289.35,289.45,289.2,289.35,26141
9/14/2018 10:31:00 AM,289.25,289.35,289.2,289.3,25733
9/14/2018 10:30:00 AM,289.35,289.35,289.2,289.25,32168
9/14/2018 10:29:00 AM,289.4,289.45,289.25,289.35,12846
9/14/2018 10:28:00 AM,289.5,289.55,289.4,289.4,11877
9/14/2018 10:27:00 AM,289.6,289.6,289.4,289.5,11129
9/14/2018 10:26:00 AM,289.35,289.6,289.15,289.6,33921
9/14/2018 10:25:00 AM,289.2,289.35,289.1,289.25,24310
9/14/2018 10:24:00 AM,289.15,289.2,289,289.15,41603
9/14/2018 10:23:00 AM,289.2,289.25,289.1,289.25,20854
9/14/2018 10:22:00 AM,289.25,289.35,289.15,289.2,20523
9/14/2018 10:21:00 AM,289.25,289.3,289.1,289.15,12654
9/14/2018 10:20:00 AM,289.2,289.25,289.1,289.25,18601
9/14/2018 10:19:00 AM,289.25,289.25,289.05,289.15,37499
9/14/2018 10:18:00 AM,289.35,289.35,289.2,289.3,11238
9/14/2018 10:17:00 AM,289.3,289.4,289.25,289.35,10046
9/14/2018 10:16:00 AM,289.25,289.45,289.1,289.4,58489
9/14/2018 10:15:00 AM,289.35,289.35,289.2,289.2,18334
9/14/2018 10:14:00 AM,289.45,289.45,289.25,289.3,42810
9/14/2018 10:13:00 AM,289.55,289.6,289.45,289.55,8534
9/14/2018 10:12:00 AM,289.4,289.6,289.4,289.6,9341
9/14/2018 10:11:00 AM,289.4,289.55,289.4,289.45,14802
9/14/2018 10:10:00 AM,289.55,289.6,289.4,289.45,38408
9/14/2018 10:09:00 AM,289.8,289.8,289.45,289.55,47112
9/14/2018 10:08:00 AM,289.85,289.95,289.8,289.8,30252
9/14/2018 10:07:00 AM,289.8,289.85,289.7,289.85,8971
9/14/2018 10:06:00 AM,289.75,289.9,289.6,289.7,18028
9/14/2018 10:05:00 AM,289.75,289.9,289.7,289.75,28529
9/14/2018 10:04:00 AM,289.6,289.95,289.5,289.8,40211
9/14/2018 10:03:00 AM,289.5,289.7,289.4,289.5,28217
9/14/2018 10:02:00 AM,289.5,289.5,289.3,289.5,13395
9/14/2018 10:01:00 AM,289.5,289.65,289.3,289.45,25790
9/14/2018 10:00:00 AM,289.45,289.7,289.4,289.7,19948
9/14/2018 9:59:00 AM,289.25,289.5,289.1,289.35,40766
9/14/2018 9:58:00 AM,289.3,289.35,289.2,289.25,29118
9/14/2018 9:57:00 AM,289.65,289.65,289.2,289.25,41487
