Date,JPYINR18SEPFUT O,JPYINR18SEPFUT H,JPYINR18SEPFUT L,JPYINR18SEPFUT C,JPYINR18SEPFUT V
9/14/2018 1:55:00 PM,64.2675,64.2775,64.2675,64.2775,25
9/14/2018 1:54:00 PM,64.2775,64.2775,64.265,64.2675,7
9/14/2018 1:53:00 PM,64.275,64.2775,64.265,64.2775,9
9/14/2018 1:52:00 PM,64.26,64.28,64.26,64.275,278
9/14/2018 1:51:00 PM,64.2425,64.2725,64.2425,64.26,166
9/14/2018 1:50:00 PM,64.24,64.2425,64.24,64.2425,10
9/14/2018 1:49:00 PM,64.24,64.24,64.24,64.24,0
9/14/2018 1:48:00 PM,64.235,64.2425,64.235,64.24,54
9/14/2018 1:47:00 PM,64.21,64.24,64.21,64.235,46
9/14/2018 1:46:00 PM,64.2225,64.2225,64.21,64.21,55
9/14/2018 1:45:00 PM,64.23,64.23,64.21,64.2225,61
9/14/2018 1:44:00 PM,64.23,64.23,64.23,64.23,2
9/14/2018 1:43:00 PM,64.22,64.2325,64.2175,64.23,71
9/14/2018 1:42:00 PM,64.1875,64.235,64.1875,64.22,416
9/14/2018 1:41:00 PM,64.185,64.1875,64.185,64.1875,16
9/14/2018 1:40:00 PM,64.17,64.1925,64.17,64.185,87
9/14/2018 1:39:00 PM,64.165,64.17,64.165,64.17,1
9/14/2018 1:38:00 PM,64.1725,64.1725,64.165,64.165,17
9/14/2018 1:37:00 PM,64.1725,64.1725,64.1725,64.1725,0
9/14/2018 1:36:00 PM,64.1725,64.1725,64.1725,64.1725,0
9/14/2018 1:35:00 PM,64.1775,64.1775,64.1725,64.1725,5
9/14/2018 1:34:00 PM,64.1675,64.1775,64.16,64.1775,73
9/14/2018 1:33:00 PM,64.1825,64.1825,64.1675,64.1675,6
9/14/2018 1:32:00 PM,64.175,64.185,64.175,64.1825,51
9/14/2018 1:31:00 PM,64.18,64.18,64.1675,64.175,65
9/14/2018 1:30:00 PM,64.17,64.18,64.17,64.18,150
9/14/2018 1:29:00 PM,64.15,64.17,64.15,64.17,71
9/14/2018 1:28:00 PM,64.155,64.155,64.15,64.15,16
9/14/2018 1:27:00 PM,64.16,64.1625,64.155,64.155,19
9/14/2018 1:26:00 PM,64.1725,64.1725,64.1575,64.16,17
9/14/2018 1:25:00 PM,64.1625,64.1725,64.16,64.1725,60
9/14/2018 1:24:00 PM,64.155,64.1625,64.155,64.1625,1
9/14/2018 1:23:00 PM,64.16,64.17,64.155,64.155,31
9/14/2018 1:22:00 PM,64.1575,64.16,64.1575,64.16,12
9/14/2018 1:21:00 PM,64.15,64.1575,64.15,64.1575,10
9/14/2018 1:20:00 PM,64.1525,64.1525,64.15,64.15,40
9/14/2018 1:19:00 PM,64.15,64.1525,64.15,64.1525,12
9/14/2018 1:18:00 PM,64.1475,64.15,64.145,64.15,206
9/14/2018 1:17:00 PM,64.1425,64.1475,64.14,64.1475,44
9/14/2018 1:16:00 PM,64.1375,64.1425,64.1325,64.1425,84
9/14/2018 1:15:00 PM,64.14,64.14,64.1375,64.1375,1
9/14/2018 1:14:00 PM,64.14,64.1425,64.14,64.14,16
9/14/2018 1:13:00 PM,64.12,64.135,64.12,64.135,20
9/14/2018 1:12:00 PM,64.1125,64.12,64.1125,64.12,10
9/14/2018 1:11:00 PM,64.105,64.1125,64.105,64.1125,32
9/14/2018 1:10:00 PM,64.11,64.11,64.105,64.105,3
