Date,UPL-EQ O,UPL-EQ H,UPL-EQ L,UPL-EQ C,UPL-EQ V
9/14/2018 9:54:00 AM,715.2,715.75,715.15,715.3,5531
9/14/2018 9:53:00 AM,714.65,715.2,714.55,715.2,3150
9/14/2018 9:52:00 AM,715.8,715.8,714.65,714.65,4533
9/14/2018 9:51:00 AM,716.3,716.75,715.8,715.8,1975
9/14/2018 9:50:00 AM,716.25,716.8,716.1,716.3,6625
9/14/2018 9:49:00 AM,716.15,716.65,715.7,716.25,3317
9/14/2018 9:48:00 AM,716.75,717.45,716.15,716.15,2373
9/14/2018 9:47:00 AM,716.4,717.45,716.3,716.75,11132
9/14/2018 9:46:00 AM,716.45,716.85,716.15,716.4,4050
9/14/2018 9:45:00 AM,715.15,717,715.15,716.45,10225
9/14/2018 9:44:00 AM,714.9,715.5,714.8,715.15,5159
9/14/2018 9:43:00 AM,714.8,714.95,714.3,714.9,4837
9/14/2018 9:42:00 AM,714.25,715.25,714.25,714.95,5445
9/14/2018 9:41:00 AM,715.35,715.35,713.5,714.25,11927
9/14/2018 9:40:00 AM,715.3,715.9,715,715.35,4818
9/14/2018 9:39:00 AM,715.15,715.8,714.85,715.3,6244
9/14/2018 9:38:00 AM,716,716.35,715.15,715.15,5749
9/14/2018 9:37:00 AM,716,717,715.9,716,6669
9/14/2018 9:36:00 AM,716,716,715,716,9877
9/14/2018 9:35:00 AM,715.25,716,714.1,715.95,15927
9/14/2018 9:34:00 AM,713.75,715.6,713.75,715.25,10639
9/14/2018 9:33:00 AM,712.85,713.8,712.85,713.75,3061
9/14/2018 9:32:00 AM,712.55,713.4,712.55,712.85,1369
9/14/2018 9:31:00 AM,712.7,713,712.25,712.55,2901
9/14/2018 9:30:00 AM,712.1,714,712.1,713.1,11495
9/14/2018 9:29:00 AM,711.5,712.65,711.5,712.1,5200
9/14/2018 9:28:00 AM,711.15,711.5,710.8,711.5,5704
9/14/2018 9:27:00 AM,711.9,711.9,710.6,711.4,7711
9/14/2018 9:26:00 AM,712.75,712.8,711.6,711.85,4608
9/14/2018 9:25:00 AM,712.55,712.85,712.3,712.75,4270
9/14/2018 9:24:00 AM,712.45,713,711.6,712.5,7520
9/14/2018 9:23:00 AM,711.75,712.45,711.3,712.45,4016
9/14/2018 9:22:00 AM,711,711.7,710.95,711.6,6810
9/14/2018 9:21:00 AM,711.9,711.9,709.95,711,12247
9/14/2018 9:20:00 AM,711,712.95,710.8,711.5,16154
9/14/2018 9:19:00 AM,711.05,711.05,709.1,710.75,13564
9/14/2018 9:18:00 AM,712.05,712.05,710.9,711.05,11523
9/14/2018 9:17:00 AM,713.55,713.9,712.5,712.5,16594
9/14/2018 9:16:00 AM,719,719.9,713.1,713.55,43753
9/14/2018 9:15:00 AM,709.8,718.75,709.75,718.45,87729
