Date,USDINR18OCT73PE O,USDINR18OCT73PE H,USDINR18OCT73PE L,USDINR18OCT73PE C,USDINR18OCT73PE V
9/14/2018 11:06:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:05:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:04:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:03:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:02:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:01:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:00:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:59:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:58:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:57:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:56:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:55:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:54:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:53:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:52:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:51:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:50:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:49:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:48:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:47:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:46:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:45:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:44:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:43:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:42:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:41:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:40:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:39:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:38:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:37:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:36:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:35:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:34:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:33:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:32:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 10:31:00 AM,1.27,1.27,1.27,1.27,0
