Date,ZEEL-EQ O,ZEEL-EQ H,ZEEL-EQ L,ZEEL-EQ C,ZEEL-EQ V
9/14/2018 12:28:00 PM,470.4,470.45,470.25,470.35,1718
9/14/2018 12:27:00 PM,470.5,470.6,470.35,470.5,1165
9/14/2018 12:26:00 PM,470.85,470.9,470.5,470.5,1956
9/14/2018 12:25:00 PM,470.45,470.95,470.4,470.85,2548
9/14/2018 12:24:00 PM,470.85,470.85,470.45,470.45,2147
9/14/2018 12:23:00 PM,470.75,471,470.75,470.85,1315
9/14/2018 12:22:00 PM,470.85,471,470.75,470.75,1998
9/14/2018 12:21:00 PM,470.8,471,470.7,470.85,2825
9/14/2018 12:20:00 PM,470.9,471,470.35,470.8,3570
9/14/2018 12:19:00 PM,469.85,470.9,469.85,470.85,3111
9/14/2018 12:18:00 PM,469.75,470,469.55,469.95,2830
9/14/2018 12:17:00 PM,469.95,470,469.75,469.75,457
9/14/2018 12:16:00 PM,470,470,469.85,469.85,2288
9/14/2018 12:15:00 PM,470.1,470.1,469.85,470,577
9/14/2018 12:14:00 PM,470.9,471,470.1,470.1,1048
9/14/2018 12:13:00 PM,469.8,470.95,469.8,470.9,5599
9/14/2018 12:12:00 PM,469.8,469.85,469.55,469.85,1621
9/14/2018 12:11:00 PM,469.8,469.8,469.75,469.8,541
9/14/2018 12:10:00 PM,469.9,469.9,469.75,469.8,632
9/14/2018 12:09:00 PM,470.3,470.35,469.75,469.9,6945
9/14/2018 12:08:00 PM,470.55,470.65,470.3,470.35,1797
9/14/2018 12:07:00 PM,470.7,470.7,470.5,470.55,1229
9/14/2018 12:06:00 PM,470.95,470.95,470.65,470.7,1076
9/14/2018 12:05:00 PM,470.7,471,470.7,470.95,1229
9/14/2018 12:04:00 PM,470.8,470.8,470.5,470.7,1934
9/14/2018 12:03:00 PM,471,471.1,470.65,470.8,600
9/14/2018 12:02:00 PM,471.5,471.5,470.95,471,11846
9/14/2018 12:01:00 PM,471.7,471.8,471.45,471.5,2050
9/14/2018 12:00:00 PM,471.85,471.95,471.55,471.7,3150
9/14/2018 11:59:00 AM,471.25,471.85,470.95,471.85,6117
9/14/2018 11:58:00 AM,470.95,471.2,470.3,471.2,5840
9/14/2018 11:57:00 AM,470.95,470.95,470.7,470.95,5381
9/14/2018 11:56:00 AM,470.95,470.95,470.9,470.95,679
9/14/2018 11:55:00 AM,470.65,470.95,470.65,470.95,1328
9/14/2018 11:54:00 AM,470.3,470.65,470,470.65,2027
9/14/2018 11:53:00 AM,470.3,470.3,470.25,470.3,639
9/14/2018 11:52:00 AM,469.75,470.3,469.7,470.3,3436
9/14/2018 11:51:00 AM,469.65,469.8,469.65,469.75,365
9/14/2018 11:50:00 AM,469.65,469.65,469.6,469.65,380
9/14/2018 11:49:00 AM,469.65,469.65,469.6,469.65,352
9/14/2018 11:48:00 AM,469.45,469.7,469.45,469.65,382
9/14/2018 11:47:00 AM,469.75,469.75,469.35,469.45,1174
9/14/2018 11:46:00 AM,469.75,469.85,469.7,469.7,70
9/14/2018 11:45:00 AM,469.9,469.95,469.65,469.75,962
9/14/2018 11:44:00 AM,470.1,470.25,469.9,469.9,1080
9/14/2018 11:43:00 AM,469.95,470.3,469.9,470.1,1005
9/14/2018 11:42:00 AM,469.6,469.95,469.6,469.95,1974
9/14/2018 11:41:00 AM,469.2,469.6,469.2,469.6,1467
9/14/2018 11:40:00 AM,469.8,469.8,469.2,469.2,914
9/14/2018 11:39:00 AM,470.1,470.1,469.8,469.8,1394
9/14/2018 11:38:00 AM,469.8,470.15,469.8,470.1,1361
9/14/2018 11:37:00 AM,469.75,469.8,469.65,469.8,505
9/14/2018 11:36:00 AM,469.7,469.85,469.6,469.75,1235
9/14/2018 11:35:00 AM,469.35,469.7,469.3,469.7,1798
9/14/2018 11:34:00 AM,469.15,469.5,469.15,469.35,2134
9/14/2018 11:33:00 AM,469.55,469.6,469.15,469.15,1885
9/14/2018 11:32:00 AM,470.1,470.1,469.6,469.8,776
9/14/2018 11:31:00 AM,470.1,470.2,469.9,470.1,1133
9/14/2018 11:30:00 AM,469.9,470.2,469.9,470.1,712
9/14/2018 11:29:00 AM,469.9,470,469.65,469.9,3554
9/14/2018 11:28:00 AM,470.05,470.15,469.9,469.9,1137
9/14/2018 11:27:00 AM,470.35,470.35,470,470.05,2199
9/14/2018 11:26:00 AM,470.6,470.8,470.3,470.35,1581
9/14/2018 11:25:00 AM,470.7,470.7,470.6,470.6,565
9/14/2018 11:24:00 AM,470.15,470.7,470.15,470.7,1618
9/14/2018 11:23:00 AM,470.5,470.5,470.05,470.15,1159
9/14/2018 11:22:00 AM,470.8,470.8,470.5,470.5,1967
9/14/2018 11:21:00 AM,470.7,470.8,470.7,470.8,315
9/14/2018 11:20:00 AM,470.8,470.8,470.65,470.7,2082
9/14/2018 11:19:00 AM,470.8,470.9,470.7,470.8,285
9/14/2018 11:18:00 AM,471,471,470.8,470.8,541
9/14/2018 11:17:00 AM,471.1,471.1,470.95,471,1302
9/14/2018 11:16:00 AM,471.3,471.5,471.05,471.1,363
9/14/2018 11:15:00 AM,470.65,471.2,470.6,471,2579
9/14/2018 11:14:00 AM,470.5,470.65,469.95,470.65,4280
9/14/2018 11:13:00 AM,471,471,470.55,470.55,2675
9/14/2018 11:12:00 AM,471.2,471.2,470.9,471,595
9/14/2018 11:11:00 AM,471.65,471.65,471,471,2189
9/14/2018 11:10:00 AM,471.7,471.7,471.6,471.65,399
9/14/2018 11:09:00 AM,471.65,471.7,471.6,471.7,289
9/14/2018 11:08:00 AM,471.7,471.85,471.65,471.65,801
9/14/2018 11:07:00 AM,471.45,471.7,471.45,471.65,1334
9/14/2018 11:06:00 AM,471.6,471.65,471.45,471.45,838
9/14/2018 11:05:00 AM,471.35,471.75,471.35,471.7,1802
9/14/2018 11:04:00 AM,470.6,471.35,470.55,471.35,2386
9/14/2018 11:03:00 AM,470.7,470.75,470.55,470.6,341
9/14/2018 11:02:00 AM,471.2,471.2,470.6,470.7,2408
9/14/2018 11:01:00 AM,471.35,471.35,471.2,471.2,1711
9/14/2018 11:00:00 AM,471.25,471.35,471.25,471.35,904
9/14/2018 10:59:00 AM,471.65,471.65,471.25,471.25,2048
9/14/2018 10:58:00 AM,472.05,472.05,471.55,471.65,1357
9/14/2018 10:57:00 AM,471.85,472.3,471.85,472.05,1874
9/14/2018 10:56:00 AM,472.8,472.8,471.75,471.85,3304
9/14/2018 10:55:00 AM,472.85,472.85,472.15,472.7,5085
9/14/2018 10:54:00 AM,473.3,473.45,472.45,472.45,3694
9/14/2018 10:53:00 AM,472.85,473.75,472.8,473.35,15765
9/14/2018 10:52:00 AM,472.7,472.85,472.6,472.85,2869
9/14/2018 10:51:00 AM,472.5,472.85,472.4,472.7,3663
9/14/2018 10:50:00 AM,472.55,472.85,472.25,472.5,4488
9/14/2018 10:49:00 AM,472,472.95,471.95,472.55,16457
9/14/2018 10:48:00 AM,471.35,472,471.25,471.95,7432
9/14/2018 10:47:00 AM,471.45,471.45,471.25,471.35,2548
9/14/2018 10:46:00 AM,471,471.5,471,471.45,1186
9/14/2018 10:45:00 AM,470.95,471,470.8,471,1150
9/14/2018 10:44:00 AM,471.15,471.25,470.7,470.95,1256
9/14/2018 10:43:00 AM,470.2,471.4,470.15,471.15,9149
9/14/2018 10:42:00 AM,470.2,470.2,470.1,470.15,359
9/14/2018 10:41:00 AM,470.3,470.3,470.1,470.2,792
9/14/2018 10:40:00 AM,470.3,470.3,470.2,470.3,1054
9/14/2018 10:39:00 AM,470.4,470.4,470.25,470.25,933
9/14/2018 10:38:00 AM,470.4,470.4,470.35,470.35,806
9/14/2018 10:37:00 AM,470.2,470.45,470.2,470.4,302
9/14/2018 10:36:00 AM,470.35,470.5,470.2,470.2,1775
9/14/2018 10:35:00 AM,470.35,470.4,470.3,470.35,888
9/14/2018 10:34:00 AM,470.25,470.25,470.15,470.25,816
9/14/2018 10:33:00 AM,470.8,470.9,470.05,470.25,11488
9/14/2018 10:32:00 AM,470.9,471.15,470.6,470.6,6811
9/14/2018 10:31:00 AM,469.85,470.9,469.85,470.9,4903
9/14/2018 10:30:00 AM,469.8,469.9,469.7,469.85,1876
9/14/2018 10:29:00 AM,469.95,469.95,469.5,469.55,2608
9/14/2018 10:28:00 AM,469.7,469.95,469.7,469.9,1591
9/14/2018 10:27:00 AM,468.8,470,468.8,469.85,6583
9/14/2018 10:26:00 AM,468.7,469.1,468.6,468.75,3884
9/14/2018 10:25:00 AM,469.5,469.5,468.65,468.7,3391
9/14/2018 10:24:00 AM,468.9,469.55,468.8,469.5,1115
9/14/2018 10:23:00 AM,469.75,469.75,468.75,468.9,2993
9/14/2018 10:22:00 AM,468.95,469.9,468.85,469.75,10672
9/14/2018 10:21:00 AM,468.5,469,468.5,468.9,3929
9/14/2018 10:20:00 AM,468.4,468.75,468.25,468.5,2076
9/14/2018 10:19:00 AM,468.35,468.4,468.15,468.4,2046
9/14/2018 10:18:00 AM,468.15,469,468.1,468.35,11412
9/14/2018 10:17:00 AM,467.4,468.3,467.3,468.15,9395
9/14/2018 10:16:00 AM,467.25,468.5,467.25,467.4,24575
9/14/2018 10:15:00 AM,467.45,467.55,467.1,467.25,17112
9/14/2018 10:14:00 AM,468.3,468.3,467.4,467.45,6355
9/14/2018 10:13:00 AM,468.5,468.5,467.7,468.3,8550
9/14/2018 10:12:00 AM,469,469.45,468.3,468.5,14720
9/14/2018 10:11:00 AM,468.65,469,468.5,469,2631
9/14/2018 10:10:00 AM,468.45,468.8,468,468.65,2580
