Date,ONGC-EQ O,ONGC-EQ H,ONGC-EQ L,ONGC-EQ C,ONGC-EQ V
9/14/2018 9:49:00 AM,169.75,169.9,169.6,169.6,4891
9/14/2018 9:48:00 AM,169.45,169.75,169.35,169.75,14725
9/14/2018 9:47:00 AM,169.7,169.7,169.35,169.45,18850
9/14/2018 9:46:00 AM,169.8,169.8,169.65,169.7,25171
9/14/2018 9:45:00 AM,169.9,169.9,169.75,169.8,8344
9/14/2018 9:44:00 AM,169.85,169.9,169.85,169.9,1678
9/14/2018 9:43:00 AM,169.7,169.95,169.7,169.8,5422
9/14/2018 9:42:00 AM,169.95,170,169.6,169.75,34478
9/14/2018 9:41:00 AM,169.95,169.95,169.85,169.9,4859
9/14/2018 9:40:00 AM,169.85,170.25,169.85,170,20421
9/14/2018 9:39:00 AM,169.6,169.95,169.6,169.85,39468
9/14/2018 9:38:00 AM,169.7,169.75,169.55,169.6,9285
9/14/2018 9:37:00 AM,170,170.15,169.7,169.7,20472
9/14/2018 9:36:00 AM,169.95,170,169.7,169.95,27970
9/14/2018 9:35:00 AM,170.2,170.2,169.85,169.85,11741
9/14/2018 9:34:00 AM,170.2,170.2,170.15,170.2,927
9/14/2018 9:33:00 AM,170.3,170.3,170.15,170.15,8278
9/14/2018 9:32:00 AM,170.35,170.4,170.3,170.3,7135
9/14/2018 9:31:00 AM,170.65,170.7,170.35,170.4,17699
9/14/2018 9:30:00 AM,170.65,170.9,170.65,170.7,55155
9/14/2018 9:29:00 AM,170.65,170.7,170.6,170.6,8569
9/14/2018 9:28:00 AM,170.8,170.8,170.65,170.65,16968
9/14/2018 9:27:00 AM,170.6,170.8,170.6,170.8,9510
9/14/2018 9:26:00 AM,170.75,170.75,170.6,170.6,13521
9/14/2018 9:25:00 AM,170.7,170.8,170.5,170.8,9659
9/14/2018 9:24:00 AM,170.7,170.75,170.55,170.7,7839
9/14/2018 9:23:00 AM,170.4,170.7,170.35,170.7,30822
9/14/2018 9:22:00 AM,170.85,170.85,170.35,170.35,26863
9/14/2018 9:21:00 AM,170.3,170.7,170.3,170.7,46061
9/14/2018 9:20:00 AM,170.4,170.9,170.3,170.3,33344
9/14/2018 9:19:00 AM,170.6,170.6,170.4,170.4,30047
9/14/2018 9:18:00 AM,170.5,170.75,170.3,170.65,33235
9/14/2018 9:17:00 AM,170.2,170.5,170.2,170.5,50522
9/14/2018 9:16:00 AM,170.1,170.2,169.9,170.1,31656
9/14/2018 9:15:00 AM,169.4,170.2,169.4,170,63203
