Date,USDINR18SEP72PE O,USDINR18SEP72PE H,USDINR18SEP72PE L,USDINR18SEP72PE C,USDINR18SEP72PE V
9/14/2018 2:06:00 PM,0.505,0.51,0.5025,0.51,73
9/14/2018 2:05:00 PM,0.51,0.51,0.505,0.505,91
9/14/2018 2:04:00 PM,0.515,0.515,0.51,0.51,310
9/14/2018 2:03:00 PM,0.515,0.515,0.515,0.515,0
9/14/2018 2:02:00 PM,0.515,0.515,0.515,0.515,5
9/14/2018 2:01:00 PM,0.51,0.515,0.51,0.515,10
9/14/2018 2:00:00 PM,0.51,0.51,0.51,0.51,40
9/14/2018 1:59:00 PM,0.5,0.515,0.5,0.51,32
9/14/2018 1:58:00 PM,0.5,0.5,0.5,0.5,0
9/14/2018 1:57:00 PM,0.51,0.51,0.495,0.5,225
9/14/2018 1:56:00 PM,0.505,0.51,0.505,0.51,50
9/14/2018 1:55:00 PM,0.5075,0.5075,0.505,0.505,28
9/14/2018 1:54:00 PM,0.51,0.51,0.51,0.51,0
9/14/2018 1:53:00 PM,0.4975,0.51,0.4975,0.51,26
9/14/2018 1:52:00 PM,0.515,0.515,0.4975,0.4975,12
9/14/2018 1:51:00 PM,0.5275,0.5275,0.51,0.515,132
9/14/2018 1:50:00 PM,0.525,0.5275,0.525,0.5275,5
9/14/2018 1:49:00 PM,0.525,0.525,0.525,0.525,8
9/14/2018 1:48:00 PM,0.54,0.54,0.525,0.525,57
9/14/2018 1:47:00 PM,0.54,0.54,0.54,0.54,0
9/14/2018 1:46:00 PM,0.54,0.54,0.54,0.54,78
9/14/2018 1:45:00 PM,0.535,0.5425,0.535,0.5425,100
9/14/2018 1:44:00 PM,0.5275,0.535,0.5275,0.535,169
9/14/2018 1:43:00 PM,0.5275,0.535,0.5275,0.5275,181
9/14/2018 1:42:00 PM,0.555,0.555,0.5225,0.5275,328
9/14/2018 1:41:00 PM,0.5575,0.56,0.555,0.555,400
9/14/2018 1:40:00 PM,0.5775,0.5775,0.555,0.5575,232
9/14/2018 1:39:00 PM,0.5775,0.5775,0.5775,0.5775,6
9/14/2018 1:38:00 PM,0.5725,0.5775,0.5725,0.5775,34
9/14/2018 1:37:00 PM,0.5725,0.5725,0.5725,0.5725,192
9/14/2018 1:36:00 PM,0.57,0.5725,0.57,0.5725,1051
9/14/2018 1:35:00 PM,0.5725,0.5725,0.57,0.57,30
