Date,NTPC-EQ O,NTPC-EQ H,NTPC-EQ L,NTPC-EQ C,NTPC-EQ V
9/14/2018 9:40:00 AM,171.9,172.2,171.8,172.2,17385
9/14/2018 9:39:00 AM,171.95,171.95,171.75,171.9,7033
9/14/2018 9:38:00 AM,172.15,172.3,171.75,171.75,15694
9/14/2018 9:37:00 AM,171.95,172.15,171.9,172.1,7891
9/14/2018 9:36:00 AM,171.95,172,171.75,171.95,13007
9/14/2018 9:35:00 AM,171.75,172.15,171.65,172,19279
9/14/2018 9:34:00 AM,171.9,171.9,171.75,171.8,11569
9/14/2018 9:33:00 AM,171.75,171.9,171.6,171.75,9478
9/14/2018 9:32:00 AM,171.65,171.75,171.3,171.55,23687
9/14/2018 9:31:00 AM,172.05,172.05,171.7,171.7,9813
9/14/2018 9:30:00 AM,172.2,172.25,172.05,172.1,11879
9/14/2018 9:29:00 AM,171.95,172.35,171.9,172.25,35989
9/14/2018 9:28:00 AM,171.95,172,171.8,172,7567
9/14/2018 9:27:00 AM,171.6,172,171.6,171.95,14006
9/14/2018 9:26:00 AM,171.8,171.85,171.55,171.6,11261
9/14/2018 9:25:00 AM,171.65,171.8,171.6,171.8,13543
9/14/2018 9:24:00 AM,172,172,171.75,171.75,8839
9/14/2018 9:23:00 AM,171.95,172,171.9,172,11065
9/14/2018 9:22:00 AM,171.9,172,171.9,171.9,11568
9/14/2018 9:21:00 AM,171.7,172.1,171.7,172,111728
9/14/2018 9:20:00 AM,171.9,171.95,171.7,171.7,23909
9/14/2018 9:19:00 AM,171.55,171.9,171.45,171.9,19730
9/14/2018 9:18:00 AM,171.5,171.5,171.4,171.45,52068
9/14/2018 9:17:00 AM,171.45,171.5,171.4,171.5,41280
9/14/2018 9:16:00 AM,171.4,171.5,171.35,171.4,18803
9/14/2018 9:15:00 AM,170.6,171.45,170.6,171.4,34315
