Date,USDINR18OCTFUT O,USDINR18OCTFUT H,USDINR18OCTFUT L,USDINR18OCTFUT C,USDINR18OCTFUT V
9/14/2018 1:20:00 PM,71.99,71.995,71.985,71.9925,117
9/14/2018 1:19:00 PM,71.995,71.9975,71.99,71.99,534
9/14/2018 1:18:00 PM,71.985,71.9975,71.98,71.9975,2674
9/14/2018 1:17:00 PM,71.9725,71.985,71.9725,71.985,104
9/14/2018 1:16:00 PM,71.96,71.9825,71.96,71.9725,1095
9/14/2018 1:15:00 PM,71.98,71.98,71.9575,71.96,552
9/14/2018 1:14:00 PM,71.9825,71.99,71.98,71.98,242
9/14/2018 1:13:00 PM,71.9675,71.9825,71.965,71.9825,521
9/14/2018 1:12:00 PM,71.9575,71.97,71.955,71.97,114
9/14/2018 1:11:00 PM,71.945,71.965,71.945,71.9575,251
9/14/2018 1:10:00 PM,71.96,71.96,71.945,71.945,385
9/14/2018 1:09:00 PM,71.94,71.96,71.94,71.96,374
9/14/2018 1:08:00 PM,71.94,71.9425,71.935,71.94,586
9/14/2018 1:07:00 PM,71.9325,71.945,71.925,71.94,731
9/14/2018 1:06:00 PM,71.92,71.9325,71.9125,71.9325,1314
9/14/2018 1:05:00 PM,71.9425,71.9425,71.915,71.92,900
9/14/2018 1:04:00 PM,71.9425,71.9475,71.9375,71.9425,610
9/14/2018 1:03:00 PM,71.9375,71.9425,71.935,71.9425,584
9/14/2018 1:02:00 PM,71.9425,71.9425,71.9275,71.9375,705
9/14/2018 1:01:00 PM,71.97,71.97,71.9325,71.9425,2142
9/14/2018 1:00:00 PM,71.98,71.9875,71.9575,71.97,1654
9/14/2018 12:59:00 PM,72.0125,72.02,71.9825,71.985,1317
9/14/2018 12:58:00 PM,72.015,72.02,72.0025,72.0175,502
9/14/2018 12:57:00 PM,72.0125,72.015,72.0125,72.015,25
9/14/2018 12:56:00 PM,72.015,72.015,72.005,72.0125,506
9/14/2018 12:55:00 PM,72.0375,72.0375,72.015,72.015,180
9/14/2018 12:54:00 PM,72.045,72.05,72.0375,72.0375,76
9/14/2018 12:53:00 PM,72.0375,72.045,72.0325,72.045,37
9/14/2018 12:52:00 PM,72.03,72.035,72.03,72.035,11
9/14/2018 12:51:00 PM,72.0475,72.0475,72.0175,72.03,134
9/14/2018 12:50:00 PM,72.055,72.055,72.0475,72.0475,10
9/14/2018 12:49:00 PM,72.06,72.06,72.05,72.055,385
9/14/2018 12:48:00 PM,72.0575,72.06,72.0475,72.06,130
9/14/2018 12:47:00 PM,72.0525,72.055,72.0525,72.055,223
9/14/2018 12:46:00 PM,72.045,72.05,72.045,72.05,17
9/14/2018 12:45:00 PM,72.0275,72.04,72.0275,72.04,153
9/14/2018 12:44:00 PM,72.03,72.0375,72.0225,72.0275,427
9/14/2018 12:43:00 PM,72.05,72.05,72.03,72.03,108
9/14/2018 12:42:00 PM,72.05,72.05,72.04,72.05,118
9/14/2018 12:41:00 PM,72.0325,72.0525,72.0325,72.05,234
9/14/2018 12:40:00 PM,72.0475,72.05,72.0325,72.0325,126
9/14/2018 12:39:00 PM,72.0625,72.0625,72.0425,72.0475,270
9/14/2018 12:38:00 PM,72.045,72.06,72.0425,72.06,608
9/14/2018 12:37:00 PM,72.06,72.06,72.045,72.045,147
9/14/2018 12:36:00 PM,72.0625,72.065,72.06,72.06,9
9/14/2018 12:35:00 PM,72.07,72.07,72.0625,72.0625,228
9/14/2018 12:34:00 PM,72.0575,72.07,72.0575,72.07,290
9/14/2018 12:33:00 PM,72.065,72.065,72.0475,72.0575,155
9/14/2018 12:32:00 PM,72.0525,72.075,72.0525,72.065,244
9/14/2018 12:31:00 PM,72.0525,72.0525,72.0475,72.0525,135
9/14/2018 12:30:00 PM,72.0375,72.055,72.0375,72.0525,253
9/14/2018 12:29:00 PM,72.05,72.05,72.0375,72.0375,113
9/14/2018 12:28:00 PM,72.045,72.0525,72.045,72.05,1827
9/14/2018 12:27:00 PM,72.0425,72.0575,72.04,72.0425,219
9/14/2018 12:26:00 PM,72.04,72.05,72.04,72.0425,155
9/14/2018 12:25:00 PM,72.02,72.04,72.0175,72.04,153
9/14/2018 12:24:00 PM,72.0175,72.0275,72.0125,72.02,546
9/14/2018 12:23:00 PM,72.01,72.025,72.01,72.0175,873
9/14/2018 12:22:00 PM,72.015,72.02,72.01,72.01,271
9/14/2018 12:21:00 PM,71.99,72.0175,71.9825,72.015,1326
9/14/2018 12:20:00 PM,71.9975,72.005,71.9825,71.99,537
9/14/2018 12:19:00 PM,71.97,71.9975,71.97,71.9975,496
9/14/2018 12:18:00 PM,72.0025,72.0025,71.97,71.97,1300
9/14/2018 12:17:00 PM,72.03,72.0375,72,72.0025,515
9/14/2018 12:16:00 PM,72.03,72.03,72.025,72.03,187
9/14/2018 12:15:00 PM,72.0225,72.0325,72.0125,72.03,959
9/14/2018 12:14:00 PM,72.0225,72.035,72.02,72.025,599
9/14/2018 12:13:00 PM,72.0075,72.0225,72.0075,72.0225,3588
9/14/2018 12:12:00 PM,72.0475,72.05,71.9975,72.0125,18253
9/14/2018 12:11:00 PM,72.0825,72.0875,72.0325,72.05,3629
9/14/2018 12:10:00 PM,72.1,72.1,72.0825,72.0825,498
9/14/2018 12:09:00 PM,72.09,72.105,72.09,72.105,276
9/14/2018 12:08:00 PM,72.11,72.1125,72.085,72.09,315
9/14/2018 12:07:00 PM,72.0975,72.11,72.0975,72.105,487
9/14/2018 12:06:00 PM,72.0925,72.1,72.09,72.0975,794
9/14/2018 12:05:00 PM,72.1125,72.1175,72.0775,72.085,2358
9/14/2018 12:04:00 PM,72.1425,72.1475,72.1125,72.1125,4008
9/14/2018 12:03:00 PM,72.165,72.165,72.145,72.145,640
9/14/2018 12:02:00 PM,72.165,72.1675,72.155,72.165,581
9/14/2018 12:01:00 PM,72.17,72.1725,72.1625,72.165,413
9/14/2018 12:00:00 PM,72.18,72.18,72.1625,72.17,1650
9/14/2018 11:59:00 AM,72.1825,72.1825,72.18,72.18,246
9/14/2018 11:58:00 AM,72.185,72.1875,72.1775,72.18,630
9/14/2018 11:57:00 AM,72.1975,72.2025,72.1775,72.185,570
9/14/2018 11:56:00 AM,72.21,72.21,72.1925,72.1975,2218
9/14/2018 11:55:00 AM,72.1925,72.215,72.1925,72.21,4911
9/14/2018 11:54:00 AM,72.2025,72.2025,72.1925,72.1925,1145
9/14/2018 11:53:00 AM,72.23,72.23,72.2025,72.2025,199
9/14/2018 11:52:00 AM,72.23,72.23,72.23,72.23,0
9/14/2018 11:51:00 AM,72.2325,72.2325,72.2175,72.23,321
9/14/2018 11:50:00 AM,72.225,72.235,72.225,72.2325,723
9/14/2018 11:49:00 AM,72.2175,72.23,72.2175,72.23,704
9/14/2018 11:48:00 AM,72.23,72.23,72.2175,72.2175,140
9/14/2018 11:47:00 AM,72.225,72.23,72.2175,72.23,339
9/14/2018 11:46:00 AM,72.2225,72.2275,72.2225,72.225,135
9/14/2018 11:45:00 AM,72.2125,72.2225,72.2125,72.2225,713
9/14/2018 11:44:00 AM,72.22,72.2225,72.21,72.2125,863
9/14/2018 11:43:00 AM,72.205,72.22,72.205,72.22,914
9/14/2018 11:42:00 AM,72.21,72.21,72.2,72.205,775
9/14/2018 11:41:00 AM,72.205,72.21,72.205,72.21,376
9/14/2018 11:40:00 AM,72.1975,72.205,72.1975,72.205,612
9/14/2018 11:39:00 AM,72.2,72.2,72.19,72.2,439
9/14/2018 11:38:00 AM,72.1875,72.2,72.1875,72.2,203
9/14/2018 11:37:00 AM,72.195,72.195,72.17,72.1875,1691
9/14/2018 11:36:00 AM,72.1825,72.1975,72.1825,72.1975,244
9/14/2018 11:35:00 AM,72.185,72.1925,72.1825,72.1825,1351
9/14/2018 11:34:00 AM,72.18,72.185,72.1775,72.185,1281
9/14/2018 11:33:00 AM,72.17,72.1825,72.17,72.18,578
9/14/2018 11:32:00 AM,72.17,72.17,72.1675,72.17,726
9/14/2018 11:31:00 AM,72.1725,72.1725,72.165,72.165,209
9/14/2018 11:30:00 AM,72.1675,72.175,72.1675,72.1725,138
9/14/2018 11:29:00 AM,72.165,72.1675,72.165,72.1675,130
9/14/2018 11:28:00 AM,72.1675,72.1675,72.16,72.165,223
9/14/2018 11:27:00 AM,72.1675,72.1675,72.1525,72.1675,376
9/14/2018 11:26:00 AM,72.16,72.1725,72.16,72.1675,433
9/14/2018 11:25:00 AM,72.16,72.16,72.1525,72.16,131
9/14/2018 11:24:00 AM,72.1675,72.1675,72.16,72.16,3
9/14/2018 11:23:00 AM,72.1775,72.1775,72.1675,72.1675,175
9/14/2018 11:22:00 AM,72.17,72.18,72.17,72.1775,24
9/14/2018 11:21:00 AM,72.1825,72.1825,72.17,72.17,94
9/14/2018 11:20:00 AM,72.1725,72.1825,72.1725,72.1825,108
9/14/2018 11:19:00 AM,72.165,72.1725,72.165,72.1725,115
9/14/2018 11:18:00 AM,72.1775,72.1775,72.165,72.165,198
9/14/2018 11:17:00 AM,72.175,72.175,72.17,72.17,60
9/14/2018 11:16:00 AM,72.1775,72.1775,72.17,72.175,62
9/14/2018 11:15:00 AM,72.175,72.18,72.175,72.1775,43
9/14/2018 11:14:00 AM,72.175,72.175,72.175,72.175,0
9/14/2018 11:13:00 AM,72.195,72.195,72.175,72.175,177
9/14/2018 11:12:00 AM,72.2025,72.2025,72.195,72.195,9
9/14/2018 11:11:00 AM,72.1925,72.2025,72.1925,72.2025,230
9/14/2018 11:10:00 AM,72.1925,72.195,72.185,72.1925,90
9/14/2018 11:09:00 AM,72.2,72.2,72.19,72.1925,325
9/14/2018 11:08:00 AM,72.2125,72.2125,72.2,72.2,2
9/14/2018 11:07:00 AM,72.2,72.2125,72.2,72.2125,101
9/14/2018 11:06:00 AM,72.2075,72.21,72.2,72.2,202
9/14/2018 11:05:00 AM,72.2075,72.2075,72.2,72.2075,34
9/14/2018 11:04:00 AM,72.2025,72.2075,72.1975,72.2075,551
9/14/2018 11:03:00 AM,72.2,72.205,72.1925,72.2025,234
9/14/2018 11:02:00 AM,72.19,72.2,72.1875,72.2,418
9/14/2018 11:01:00 AM,72.1775,72.19,72.175,72.19,578
9/14/2018 11:00:00 AM,72.17,72.18,72.17,72.1775,183
9/14/2018 10:59:00 AM,72.16,72.17,72.16,72.17,266
9/14/2018 10:58:00 AM,72.15,72.16,72.15,72.16,54
9/14/2018 10:57:00 AM,72.155,72.155,72.15,72.15,332
9/14/2018 10:56:00 AM,72.1675,72.1675,72.155,72.155,154
9/14/2018 10:55:00 AM,72.165,72.1675,72.1625,72.1675,18
9/14/2018 10:54:00 AM,72.155,72.165,72.155,72.165,31
9/14/2018 10:53:00 AM,72.165,72.165,72.155,72.155,353
9/14/2018 10:52:00 AM,72.1775,72.1775,72.165,72.165,408
9/14/2018 10:51:00 AM,72.18,72.18,72.175,72.1775,311
9/14/2018 10:50:00 AM,72.19,72.19,72.18,72.18,248
9/14/2018 10:49:00 AM,72.2075,72.2075,72.19,72.19,414
9/14/2018 10:48:00 AM,72.2025,72.2075,72.2025,72.2075,408
9/14/2018 10:47:00 AM,72.1975,72.2025,72.19,72.2025,201
9/14/2018 10:46:00 AM,72.165,72.19,72.165,72.19,244
9/14/2018 10:45:00 AM,72.1725,72.1725,72.165,72.165,218
9/14/2018 10:44:00 AM,72.165,72.1725,72.165,72.1725,493
9/14/2018 10:43:00 AM,72.17,72.17,72.165,72.17,16
9/14/2018 10:42:00 AM,72.1725,72.1725,72.17,72.17,2
9/14/2018 10:41:00 AM,72.185,72.185,72.1725,72.1725,339
9/14/2018 10:40:00 AM,72.185,72.185,72.1775,72.185,1148
9/14/2018 10:39:00 AM,72.1775,72.185,72.1775,72.185,272
