Date,DRREDDY-EQ O,DRREDDY-EQ H,DRREDDY-EQ L,DRREDDY-EQ C,DRREDDY-EQ V
9/14/2018 12:48:00 PM,2571.2,2573.5,2570.6,2572.15,2158
9/14/2018 12:47:00 PM,2570.8,2572,2570.6,2572,318
9/14/2018 12:46:00 PM,2568.5,2570.9,2568.5,2570.9,1341
9/14/2018 12:45:00 PM,2568,2568.5,2567.1,2568,278
9/14/2018 12:44:00 PM,2568.5,2568.5,2568,2568,229
9/14/2018 12:43:00 PM,2566.9,2568.5,2566.1,2568.5,502
9/14/2018 12:42:00 PM,2566.95,2566.95,2566.05,2566.9,444
9/14/2018 12:41:00 PM,2566,2566.95,2566,2566.95,289
9/14/2018 12:40:00 PM,2565.8,2567.1,2565,2566,317
9/14/2018 12:39:00 PM,2564.85,2565.8,2564.5,2565.8,168
9/14/2018 12:38:00 PM,2565.5,2565.5,2564.2,2564.85,415
9/14/2018 12:37:00 PM,2564.95,2565.5,2564.9,2565.25,107
9/14/2018 12:36:00 PM,2564.1,2565.7,2564.1,2565,269
9/14/2018 12:35:00 PM,2565.8,2565.8,2563.75,2564.1,160
9/14/2018 12:34:00 PM,2564,2566.25,2563.05,2565.8,1079
9/14/2018 12:33:00 PM,2562.35,2564.15,2562.15,2563.95,217
9/14/2018 12:32:00 PM,2561,2562.35,2560.1,2562.35,385
9/14/2018 12:31:00 PM,2564.35,2564.4,2560.2,2560.2,605
9/14/2018 12:30:00 PM,2564.85,2564.85,2563.3,2564.4,201
9/14/2018 12:29:00 PM,2564.15,2565,2563,2564.85,703
9/14/2018 12:28:00 PM,2564.4,2564.8,2560.4,2563.85,1763
9/14/2018 12:27:00 PM,2564.6,2565.35,2560.1,2564.75,4099
9/14/2018 12:26:00 PM,2565,2565.95,2560.35,2565.9,2700
9/14/2018 12:25:00 PM,2564.3,2566,2560.6,2564.9,2403
9/14/2018 12:24:00 PM,2564.75,2565.95,2564.05,2564.3,756
9/14/2018 12:23:00 PM,2564.8,2565.95,2564.7,2564.75,696
9/14/2018 12:22:00 PM,2566.45,2566.45,2564.65,2564.8,533
9/14/2018 12:21:00 PM,2565.95,2565.95,2564.4,2565,667
9/14/2018 12:20:00 PM,2564.1,2565.95,2564.05,2565.95,1609
9/14/2018 12:19:00 PM,2564.9,2564.9,2563.8,2564.2,627
9/14/2018 12:18:00 PM,2564.15,2565.2,2563,2564,960
9/14/2018 12:17:00 PM,2566,2567.6,2564.15,2564.15,2426
9/14/2018 12:16:00 PM,2567.05,2568,2565.45,2565.45,733
9/14/2018 12:15:00 PM,2567.8,2568,2566.9,2567.05,222
9/14/2018 12:14:00 PM,2567.1,2567.8,2567.1,2567.8,121
9/14/2018 12:13:00 PM,2566.35,2567.1,2566.35,2567.1,275
9/14/2018 12:12:00 PM,2568,2568,2566,2566.35,587
9/14/2018 12:11:00 PM,2566.75,2568.95,2566.75,2568,277
9/14/2018 12:10:00 PM,2569.5,2569.95,2566.75,2566.75,1211
9/14/2018 12:09:00 PM,2568.5,2570,2568.05,2569.5,1110
9/14/2018 12:08:00 PM,2568.2,2569.95,2566.35,2568.5,618
9/14/2018 12:07:00 PM,2567,2569.7,2566.1,2568.2,1508
9/14/2018 12:06:00 PM,2567,2567,2566.05,2567,889
9/14/2018 12:05:00 PM,2566.95,2567,2566.95,2567,1480
9/14/2018 12:04:00 PM,2565.8,2567,2565.8,2566.95,796
9/14/2018 12:03:00 PM,2565,2566.3,2565,2565.8,592
