Date,BANKNIFTY18OCTFUT O,BANKNIFTY18OCTFUT H,BANKNIFTY18OCTFUT L,BANKNIFTY18OCTFUT C,BANKNIFTY18OCTFUT V
9/14/2018 12:32:00 PM,27235,27235,27235,27235,0
9/14/2018 12:31:00 PM,27235,27235,27235,27235,0
9/14/2018 12:30:00 PM,27235,27235,27235,27235,0
9/14/2018 12:29:00 PM,27235,27235,27235,27235,0
9/14/2018 12:28:00 PM,27235,27235,27235,27235,80
9/14/2018 12:27:00 PM,27235,27235,27235,27235,0
9/14/2018 12:26:00 PM,27235,27235,27235,27235,0
9/14/2018 12:25:00 PM,27235,27235,27235,27235,0
9/14/2018 12:24:00 PM,27235,27235,27235,27235,0
9/14/2018 12:23:00 PM,27235,27235,27235,27235,0
9/14/2018 12:22:00 PM,27245,27245,27235,27235,40
9/14/2018 12:21:00 PM,27245,27245,27245,27245,0
9/14/2018 12:20:00 PM,27240.15,27245,27240.15,27245,40
9/14/2018 12:19:00 PM,27240.15,27240.15,27240.15,27240.15,0
9/14/2018 12:18:00 PM,27240.15,27240.15,27240.15,27240.15,0
9/14/2018 12:17:00 PM,27240.15,27240.15,27240.15,27240.15,0
9/14/2018 12:16:00 PM,27235,27240.15,27235,27240.15,40
9/14/2018 12:15:00 PM,27235,27235,27235,27235,0
9/14/2018 12:14:00 PM,27225,27235,27225,27235,40
9/14/2018 12:13:00 PM,27225,27225,27225,27225,0
9/14/2018 12:12:00 PM,27225,27225,27225,27225,0
9/14/2018 12:11:00 PM,27223.35,27225,27223.35,27225,40
9/14/2018 12:10:00 PM,27223.35,27223.35,27223.35,27223.35,0
9/14/2018 12:09:00 PM,27235,27235,27223.35,27223.35,120
9/14/2018 12:08:00 PM,27245,27245,27235,27235,40
9/14/2018 12:07:00 PM,27245,27245,27245,27245,0
9/14/2018 12:06:00 PM,27240.35,27249.95,27240.35,27245,520
9/14/2018 12:05:00 PM,27240.35,27240.35,27240.35,27240.35,0
9/14/2018 12:04:00 PM,27245.2,27245.2,27240.35,27240.35,120
9/14/2018 12:03:00 PM,27229.8,27246,27229.8,27246,280
9/14/2018 12:02:00 PM,27229.8,27229.8,27229.8,27229.8,0
9/14/2018 12:01:00 PM,27229.8,27229.8,27229.8,27229.8,0
9/14/2018 12:00:00 PM,27205,27229.8,27205,27229.8,160
9/14/2018 11:59:00 AM,27190,27205,27190,27205,120
9/14/2018 11:58:00 AM,27190,27190,27190,27190,0
9/14/2018 11:57:00 AM,27190,27190,27190,27190,0
9/14/2018 11:56:00 AM,27181.5,27190,27181.5,27190,120
9/14/2018 11:55:00 AM,27186.4,27186.4,27181.5,27181.5,40
9/14/2018 11:54:00 AM,27186.4,27186.4,27186.4,27186.4,0
9/14/2018 11:53:00 AM,27180,27186.4,27180,27186.4,440
9/14/2018 11:52:00 AM,27190,27190,27180,27180,600
9/14/2018 11:51:00 AM,27205,27205,27190,27190,40
9/14/2018 11:50:00 AM,27205,27205,27205,27205,40
9/14/2018 11:49:00 AM,27194.05,27205,27194.05,27205,80
9/14/2018 11:48:00 AM,27195,27200,27194.05,27194.05,160
9/14/2018 11:47:00 AM,27195,27195,27195,27195,0
9/14/2018 11:46:00 AM,27206.75,27206.75,27195,27195,40
9/14/2018 11:45:00 AM,27214.95,27214.95,27206.75,27206.75,120
