Date,YESBANK-EQ O,YESBANK-EQ H,YESBANK-EQ L,YESBANK-EQ C,YESBANK-EQ V
9/14/2018 9:59:00 AM,323.35,323.65,323,323.5,192064
9/14/2018 9:58:00 AM,322.35,323.5,322.3,323.35,743279
9/14/2018 9:57:00 AM,322.25,322.5,322.2,322.35,143723
9/14/2018 9:56:00 AM,321.55,322.4,321.5,322.25,328373
9/14/2018 9:55:00 AM,321.45,321.6,321.45,321.55,68473
9/14/2018 9:54:00 AM,321.7,321.8,321.35,321.5,100972
9/14/2018 9:53:00 AM,321.55,321.85,321.5,321.8,68002
9/14/2018 9:52:00 AM,321.2,321.8,321.2,321.6,108403
9/14/2018 9:51:00 AM,321.1,321.25,321,321.2,76257
9/14/2018 9:50:00 AM,320.95,321.25,320.75,321.25,92715
9/14/2018 9:49:00 AM,321.4,321.4,320.75,320.95,205631
9/14/2018 9:48:00 AM,321.45,321.65,321.2,321.4,92113
9/14/2018 9:47:00 AM,321.55,321.75,321.3,321.6,45047
9/14/2018 9:46:00 AM,321.75,321.75,321.25,321.5,51174
9/14/2018 9:45:00 AM,321.2,321.9,321.15,321.85,95900
9/14/2018 9:44:00 AM,321.15,321.3,321.05,321.2,59774
9/14/2018 9:43:00 AM,321.1,321.35,321.05,321.1,54410
9/14/2018 9:42:00 AM,321.05,321.2,321,321.05,57192
9/14/2018 9:41:00 AM,321,321.5,320.95,321,154681
9/14/2018 9:40:00 AM,321,321.2,320.9,321.2,102564
9/14/2018 9:39:00 AM,321.1,321.2,320.65,321.1,162836
9/14/2018 9:38:00 AM,322,322.15,320.65,321.25,186777
9/14/2018 9:37:00 AM,321.75,322.4,321.7,322,143452
9/14/2018 9:36:00 AM,322.1,322.4,321.75,321.8,155462
9/14/2018 9:35:00 AM,322,322.4,321.9,322.1,144937
9/14/2018 9:34:00 AM,321.1,322,321,321.9,201062
9/14/2018 9:33:00 AM,321.05,321.35,320.9,321,111793
9/14/2018 9:32:00 AM,321.2,321.5,320.95,321,110853
9/14/2018 9:31:00 AM,322,322.2,320.55,321,264004
9/14/2018 9:30:00 AM,322.65,322.8,321.95,322,324526
9/14/2018 9:29:00 AM,321.7,322.65,321.55,322.6,347397
9/14/2018 9:28:00 AM,320.45,321.5,320.35,321.5,389725
9/14/2018 9:27:00 AM,320.8,321.15,320.3,320.45,311788
9/14/2018 9:26:00 AM,319.7,320.85,319.7,320.85,373450
9/14/2018 9:25:00 AM,319.25,319.7,319.05,319.7,167786
9/14/2018 9:24:00 AM,318.45,319.1,318.35,319.1,112730
9/14/2018 9:23:00 AM,318.3,318.5,318.1,318.5,105137
9/14/2018 9:22:00 AM,318.5,318.5,318.25,318.4,190335
9/14/2018 9:21:00 AM,318.05,318.7,317.95,318.5,209952
9/14/2018 9:20:00 AM,317.75,318.1,317.65,317.95,129276
9/14/2018 9:19:00 AM,317.75,317.95,317.6,317.75,111904
9/14/2018 9:18:00 AM,318.1,318.25,317.5,317.75,205875
9/14/2018 9:17:00 AM,317,318.25,316.95,318.25,203638
9/14/2018 9:16:00 AM,317.65,317.7,316.8,316.8,282720
9/14/2018 9:15:00 AM,317.9,318.5,317.1,317.5,652158
