Date,TCS-EQ O,TCS-EQ H,TCS-EQ L,TCS-EQ C,TCS-EQ V
9/14/2018 10:52:00 AM,2039.25,2039.25,2039.15,2039.15,2785
9/14/2018 10:51:00 AM,2039.4,2039.4,2039.1,2039.25,2395
9/14/2018 10:50:00 AM,2039.65,2039.7,2039.45,2039.45,4041
9/14/2018 10:49:00 AM,2039.45,2039.7,2039.4,2039.65,3384
9/14/2018 10:48:00 AM,2039,2039.45,2038.95,2039.45,5194
9/14/2018 10:47:00 AM,2038.65,2039,2038.6,2038.95,4817
9/14/2018 10:46:00 AM,2038.6,2038.65,2038.6,2038.6,3126
9/14/2018 10:45:00 AM,2038.6,2038.65,2038.6,2038.6,2529
9/14/2018 10:44:00 AM,2039.4,2039.4,2038.6,2038.6,4082
9/14/2018 10:43:00 AM,2039.25,2039.4,2039.25,2039.35,2514
9/14/2018 10:42:00 AM,2038.55,2039.55,2038.55,2039.25,6063
9/14/2018 10:41:00 AM,2040,2040,2038.55,2038.55,3978
9/14/2018 10:40:00 AM,2040,2040,2039.95,2040,3438
9/14/2018 10:39:00 AM,2039.9,2040,2039.85,2039.95,2777
9/14/2018 10:38:00 AM,2039.65,2039.9,2039.6,2039.85,3115
9/14/2018 10:37:00 AM,2039.6,2039.65,2039.55,2039.65,2929
9/14/2018 10:36:00 AM,2038.05,2039.75,2038,2039.6,7989
9/14/2018 10:35:00 AM,2038.15,2038.2,2038,2038,7478
9/14/2018 10:34:00 AM,2039.05,2039.05,2038,2038.15,3320
9/14/2018 10:33:00 AM,2039.1,2039.15,2039,2039,2475
9/14/2018 10:32:00 AM,2039.5,2039.55,2039,2039.1,6718
9/14/2018 10:31:00 AM,2040.55,2040.55,2039.5,2039.5,2065
9/14/2018 10:30:00 AM,2041.8,2041.85,2040.85,2041.1,7729
9/14/2018 10:29:00 AM,2041.8,2041.85,2041.8,2041.8,2879
9/14/2018 10:28:00 AM,2041.8,2041.85,2041.75,2041.8,3345
9/14/2018 10:27:00 AM,2041.7,2041.85,2041.7,2041.75,3402
9/14/2018 10:26:00 AM,2041.65,2041.8,2041.65,2041.7,3417
9/14/2018 10:25:00 AM,2041.65,2041.8,2041.45,2041.7,4933
9/14/2018 10:24:00 AM,2040.65,2041.65,2040.65,2041.65,4372
9/14/2018 10:23:00 AM,2039.65,2040.75,2039.65,2040.75,3180
9/14/2018 10:22:00 AM,2040.15,2040.25,2039.45,2039.65,7322
9/14/2018 10:21:00 AM,2040.5,2040.65,2040,2040.15,3024
9/14/2018 10:20:00 AM,2040.75,2040.95,2040.5,2040.5,2835
9/14/2018 10:19:00 AM,2039.4,2040.8,2039.35,2040.8,4862
9/14/2018 10:18:00 AM,2039.05,2039.4,2038.9,2039.3,7767
9/14/2018 10:17:00 AM,2039.8,2039.8,2038.9,2039.05,7058
9/14/2018 10:16:00 AM,2039.85,2039.9,2039.6,2039.8,5499
9/14/2018 10:15:00 AM,2041.25,2041.25,2039.7,2039.85,11692
9/14/2018 10:14:00 AM,2041.45,2041.5,2041,2041.2,5555
9/14/2018 10:13:00 AM,2041,2041.5,2041,2041.45,8248
9/14/2018 10:12:00 AM,2041.5,2041.55,2041,2041.3,4950
9/14/2018 10:11:00 AM,2042.4,2042.45,2041.05,2041.5,7790
9/14/2018 10:10:00 AM,2041.7,2042.55,2041.7,2042.4,5050
9/14/2018 10:09:00 AM,2042.5,2043.1,2041.7,2041.7,6915
9/14/2018 10:08:00 AM,2042.35,2043.3,2041.8,2042.5,8390
9/14/2018 10:07:00 AM,2039.5,2042.5,2039.35,2042.5,10677
9/14/2018 10:06:00 AM,2037.5,2039.7,2037.5,2039.2,10994
9/14/2018 10:05:00 AM,2037.9,2038,2037.55,2037.75,5799
9/14/2018 10:04:00 AM,2037.2,2038,2037.2,2037.9,5329
9/14/2018 10:03:00 AM,2036.8,2037.35,2036.8,2037.3,8649
9/14/2018 10:02:00 AM,2036.85,2037.1,2036.8,2036.8,4795
9/14/2018 10:01:00 AM,2037.5,2037.7,2036.9,2036.9,5018
9/14/2018 10:00:00 AM,2038.75,2038.75,2037.5,2037.5,5248
9/14/2018 9:59:00 AM,2038.95,2039.55,2038.65,2038.7,18700
9/14/2018 9:58:00 AM,2037.05,2039,2037.05,2038.95,9031
9/14/2018 9:57:00 AM,2036.4,2037.15,2035.35,2037.05,17800
9/14/2018 9:56:00 AM,2034.45,2036.9,2034.4,2036.4,10515
9/14/2018 9:55:00 AM,2032.25,2034.5,2032.2,2034.4,14141
9/14/2018 9:54:00 AM,2031.65,2032.45,2031.6,2032.2,9470
9/14/2018 9:53:00 AM,2031.7,2031.7,2031.55,2031.65,6889
9/14/2018 9:52:00 AM,2031.2,2031.7,2031.2,2031.65,6310
9/14/2018 9:51:00 AM,2031.9,2032.4,2031.5,2031.6,6055
9/14/2018 9:50:00 AM,2032.35,2032.4,2031.6,2032,9635
9/14/2018 9:49:00 AM,2032,2032.5,2032,2032.4,6846
9/14/2018 9:48:00 AM,2032.85,2033,2032,2032,6980
9/14/2018 9:47:00 AM,2032.65,2033.45,2032.55,2032.8,9466
9/14/2018 9:46:00 AM,2033.5,2033.85,2032.8,2033.25,10730
